"idFluxoDifusivo";"idCampanha";"idSitio";"batimetria";"intervalo";"CH4";"CO2";"dataMedida";"horaMedida"
"132";"1016";"10201";"47.5";\N;"6.9098100662";"7.4991002083";"2007-07-18";"12:53:00"
"133";"1016";"10202";"42.700000763";\N;"18.653699875";"9.9198999405";"2007-07-17";"11:15:00"
"134";"1016";"10203";"41.5";\N;"-5.84168005";"4.976170063";"2007-07-17";"11:52:00"
"135";"1016";"10204";"21.299999237";\N;"13.122599602";"10.767700195";"2007-07-18";"11:00:00"
"136";"1012";"10205";"18";\N;"3.2150299549";"9.4659004211";"2006-11-29";"10:07:00"
"137";"1012";"10206";"6.6999998093";\N;"1.9620800018";"7.9975099564";"2006-11-29";"08:44:00"
"138";"1012";"10207";"14.899999619";\N;"9.3251895905";"-0.309527993";"2006-11-28";"12:22:00"
"139";"1014";"10208";"53";\N;"-2.623680115";"9.293299675";"2007-03-20";"08:37:00"
"140";"1014";"10209";"63";\N;"7.3128399849";"26.051000595";"2007-03-20";"09:40:00"
"141";"1014";"10210";"62";\N;"7.4877300262";"7.0621399879";"2007-03-20";"11:15:00"
"142";"1014";"10205";"25";\N;"1.7275700569";"8.5711898804";"2007-03-22";"09:27:00"
"143";"1014";"10206";"10.399999619";\N;"1.0102399588";"14.495100021";"2007-03-22";"08:16:00"
"144";"1014";"10207";"18";\N;"9.9576501846";"17.423700333";"2007-03-20";"12:48:00"
"145";"1016";"10208";"53";\N;"-3.020370007";"2.6678900719";"2007-07-18";"08:25:00"
"146";"1016";"10209";"57";\N;"-42.25490189";"-47.28480148";"2007-07-18";"09:03:00"
"147";"1016";"10210";"21.299999237";\N;"-20.71899986";"3.2535800934";"2007-07-18";"11:00:00"
"148";"1016";"10205";"16.5";\N;"7.8124299049";"20.695999146";"2007-07-17";"10:03:00"
"149";"1016";"10206";"9.1000003815";\N;"0.7061399817";"8.4559803009";"2007-07-17";"08:40:00"
"150";"1016";"10207";"16.5";\N;"7.3603000641";"13.511199951";"2007-07-18";"12:06:00"
"151";"1203";"12150";"1.6000000238";\N;"1.3419100046";"14.34980011";"2004-11-22";"17:25:00"
