"idVariaveisFisicasQuimicasDaAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"secchi";"batimetria";"F";"Cl";"NNO3";"PPO43";"SSO42";"Li";"Na";"NNH4";"K";"Mg";"Ca";"clorofila";"feofitina";"turbidez";"NT";"PT";"TDC"
"64";"810";"8131";"2004-07-14";\N;"17";\N;"21.200000763";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.0483000018";"17.87100029";"13.260000229"
"65";"807";"8132";"2004-03-18";\N;"0";"0.3000000119";"23";"38.799999237";"2.8733699322";"44.604301453";"0";"66.070701599";"0.0024069301";"0.7854260206";"0";"0.5794820189";"1.1236399412";"2.4348900318";"12.376999855";"2.0255200863";\N;\N;\N;\N
"66";"807";"8132";"2004-03-18";\N;"21.5";\N;"23";"38.5143013";"1.9083800316";"131.31399536";"0";"67.484802246";"0.0024069301";"0.5647220016";"0";"0.6226509809";"1.0527299643";"2.3693099022";\N;\N;\N;\N;\N;\N
"67";"807";"8133";"2004-03-19";\N;"0";"1.2999999523";"11";"31.371400833";"2.1408801079";"0";"0";"49";"0.0024069301";"1.3109099865";"0";"0.6455050111";"0.8481820226";"2.2722599506";"6.5261597633";"2.0076100826";\N;\N;\N;\N
"68";"807";"8133";"2004-03-19";\N;"9";\N;"11";"26.799999237";"3.0408699512";"76.367698669";"0";"31.323200226";"0.0024069301";"1.370470047";"0";"0.7420009971";"0.9209089875";"2.408659935";\N;\N;\N;\N;\N;\N
"69";"810";"8133";"2004-07-16";\N;"0";"3.2999999523";"13.399999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"4.2467899323";"1.2673399448";\N;"0.1932000071";"16.064500809";"12.109999657"
"70";"810";"8133";"2004-07-16";\N;"13";\N;"13.399999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.0483000018";"27.290300369";"13.850000381"
"71";"807";"8134";"2004-03-19";\N;"0";\N;"36";"11.942899704";"1.4021300077";"8.0236597061";"0";"52.636398315";"0.0024069301";"0.5857419968";"0";"0.2950739861";"0.8254550099";"2.1384899616";"0.7703160048";"0.9645699859";\N;\N;\N;\N
"72";"807";"8134";"2004-03-19";\N;"34";\N;"36";"28.799999237";"2.9046199322";"42.045200348";"0";"72.535400391";"0.0024069301";"0.7924330235";"0";"0.5642459989";"1.3818199635";"3.1011099815";\N;\N;\N;\N;\N;\N
"73";"810";"8135";"2004-07-13";\N;"0";"5.0999999046";"28";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"3.9118700027";"0.670732975";\N;"0.1932000071";"23.548400879";"14.770000458"
"74";"810";"8135";"2004-07-13";\N;"26";\N;"28";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.0483000018";"19.032300949";"8.4060001373"
"75";"810";"8136";"2004-07-12";\N;"0";"3.5";"30.399999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"3.6573300362";"0.8627539873";\N;"0.1448999941";"12.90320015";"10.260000229"
"76";"810";"8136";"2004-07-12";\N;"39";\N;"30.399999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.4830000103";"97.258102417";"5.0390000343"
"77";"810";"8137";"2004-07-12";\N;"0";"3";"51";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.8621599674";"0.7542399764";\N;"0.0966000035";"18.064500809";"8.5190000534"
"78";"810";"8137";"2004-07-12";\N;"35";\N;"51";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.0483000018";"10.645199776";"10.010000229"
"79";"810";"8138";"2004-07-14";\N;"0";"4";"14.899999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"2.5453898907";"0.6524239779";\N;"0.2415000051";"21.064500809";"12.170000076"
"80";"810";"8138";"2004-07-14";\N;"13";\N;"14.899999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.0483000018";"7.225810051";"13.659999847"
"81";"810";"8139";"2004-07-16";\N;"0";"4";"46.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"2.9377300739";"0.6124250293";\N;"0.0483000018";"22.677400589";"18.309999466"
"82";"810";"8139";"2004-07-16";\N;"45";\N;"46.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.0483000018";"45.064498901";"16.634000778"
"83";"1004";"10071";"2003-11-25";\N;"0";"3.7000000477";"21.600000381";"21.739099503";"1.1060899496";"17.035100937";"199.82299805";"1626.1700439";"2.8665599823";"5.0467600822";"6.9912600517";"0.9741209745";"0.9531880021";"3.0230801105";"9.2705898285";"2.1327700615";"2.8199999332";\N;\N;\N
"84";"1004";"10071";"2003-11-25";\N;"20";\N;"21.600000381";"90.146697998";"1.4732400179";"17.585800171";"50.696601868";"57.840000153";"2.8665599823";"2.7274401188";"199.25100708";"0.7086930275";"0.9436349869";"3.827559948";\N;\N;\N;\N;\N;\N
"85";"1004";"10072";"2003-11-25";\N;"0";"2.7000000477";"45";"22.725799561";"0.71361202";"13.363699913";\N;"64.173301697";"8.5996799469";"1.1450200081";"0";"1.0404800177";"1.2756099701";"3.9639699459";"7.6093797684";"0.4742470086";"3.4600000381";\N;\N;\N
"86";"1004";"10072";"2003-11-25";\N;"40";\N;"45";"70.742599487";"1.0934300423";"16.667900085";\N;"64.173301697";"1.4332799911";"1.9763799906";"426.4670105";"0.9940279722";"0.9770720005";"3.8380599022";\N;\N;"2.3699998856";\N;\N;\N
"87";"1004";"10073";"2003-11-25";\N;"0";"2.7000000477";"16";"23.383499146";"0.3818210065";"15.015800476";\N;"65.506599426";"14.332799911";"0.8001890182";"6.9912600517";"0.9143990278";"1.3687599897";"3.2259500027";"6.9395399094";"1.6129699945";"2.6600000858";\N;\N;\N
"88";"1004";"10073";"2003-11-25";\N;"15";\N;"16";"83.897903442";"1.4326399565";"16.300800323";"44.17029953";"57.506599426";"4.2998399734";"2.4298501015";"321.59799194";"1.2196400166";"1.6290899515";"3.6072099209";\N;\N;"6.5199999809";\N;\N;\N
"89";"1004";"10074";"2003-11-26";\N;"0";"2.4000000954";"16.399999619";"17.792499542";"0.3259409964";"14.465100288";\N;"41.173301697";"11.466199875";"0.564005971";"76.903900146";"0.2972790003";"0.3680439889";"2.2151100636";"3.7377099991";"1.0637099743";"3.2899999619";\N;\N;\N
"90";"1004";"10074";"2003-11-26";\N;"18";\N;"16.399999619";"31.276699066";"0.163537994";"15.199399948";\N;"45.506599426";"1.4332799911";"0.181389004";"6.9912600517";"0";"0.0718891993";"0.546694994";\N;\N;"16.600000381";\N;\N;\N
"91";"1004";"10075";"2003-11-26";\N;"0";"2.7000000477";"40.099998474";"44.103099823";"0.5830789804";"13.914400101";"44.17029953";"67.173301697";"2.8665599823";"1.2583800554";"41.947601318";"1.0006599426";"1.1251499653";"3.5547399521";"8.3328104019";"1.1012200117";"2.2300000191";\N;\N;\N
"92";"1004";"10075";"2003-11-26";\N;"39";\N;"40.099998474";"73.538101196";"0.9013360143";"14.832300186";"44.496601105";"48.840000153";"11.466199875";"1.5323599577";"321.59799194";"0.5958859921";"0.6140429974";"2.358520031";\N;\N;"2.8099999428";\N;\N;\N
"93";"1004";"10076";"2003-11-26";\N;"0";"3";"14.300000191";"46.40530014";"0.4992580116";"14.832300186";\N;"68.506599426";"8.5996799469";"1.2678300142";"0";"1.1798299551";"1.8106000423";"4.3871998787";"6.5376400948";"0.5707039833";"2.0799999237";\N;\N;\N
"94";"1004";"10076";"2003-11-26";\N;"14.5";\N;"14.300000191";"100.01300049";"0.9209809899";"16.667900085";"46.454498291";"59.840000153";"7.1663999557";"1.4662300348";"426.4670105";"0.5759789944";"1.0367799997";"2.8726799488";\N;\N;"4.3499999046";\N;\N;\N
"95";"1004";"10077";"2003-11-26";\N;"0";"3";"8.3000001907";"43.116500854";"0.353008002";\N;\N;"57.173301697";"1.4332799911";"1.0599900484";"41.947601318";"0.8215000033";"2.4172399044";"5.8562397957";"4.2735800743";"0.4715670049";"2.25";\N;\N;\N
"96";"1004";"10077";"2003-11-26";\N;"7";\N;"8.3000001907";"67.453796387";"0.9947609901";"14.465100288";\N;"66.506599426";"1.4332799911";"2.5195999146";"0";"0.8944919705";"3.0835900307";"5.9471797943";\N;\N;"4.4699997902";\N;\N;\N
"97";"1004";"10078";"2003-11-26";\N;"0";\N;"16.299999237";"23.383499146";"0.5616869926";"14.832300186";\N;"65.173301697";"11.466199875";"1.3386900425";"0";"1.5116100311";"2.1425800323";"4.1948199272";"8.3462095261";"1.0127999783";"2.6099998951";\N;\N;\N
