"idAguaMateriaOrganicaSedimento";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"batimetria";"agua";"materiaOrganica"
"173";"206";"2072";"2007-07-26";"11:43:00";"0.5";"2";"42.111499786";"5.2111902236938"
"174";"206";"2072";"2007-07-26";"11:43:00";"1.5";"2";"39.367900848";"5.4827098846436"
"175";"206";"2072";"2007-07-26";"11:43:00";"2.5";"2";"39.973701477";"5.2782001495361"
"176";"206";"2072";"2007-07-26";"11:43:00";"3.5";"2";"41.45349884";"5.9351601600647"
"177";"804";"8110";"2003-11-18";\N;"0.5";"96";"81.277999878";"16.132499694824"
"178";"804";"8110";"2003-11-18";\N;"1.5";"96";"72.344100952";"15.10389995575"
"179";"804";"8110";"2003-11-18";\N;"2.5";"96";"71.618301392";"15.395299911499"
"180";"804";"8110";"2003-11-18";\N;"3.5";"96";"62.561100006";"12.443300247192"
"181";"804";"8110";"2003-11-18";\N;"4.5";"96";"46.588798523";"9.3684797286987"
"182";"804";"8110";"2003-11-18";\N;"7.5";"96";"28.932500839";"3.5341899394989"
"183";"804";"8112";"2003-11-19";\N;"0.25";"29";"93.905799866";"27.145500183105"
"184";"804";"8112";"2003-11-19";\N;"0.75";"29";"93.240600586";"27.083999633789"
"185";"804";"8112";"2003-11-19";\N;"1.25";"29";"93.818199158";"32.438701629639"
"186";"804";"8112";"2003-11-19";\N;"1.75";"29";"93.478302002";"33.244701385498"
"187";"804";"8112";"2003-11-19";\N;"2.25";"29";"91.631797791";"50.726001739502"
"188";"804";"8112";"2003-11-19";\N;"3.25";"29";"88.888900757";"45.772598266602"
"189";"804";"8112";"2003-11-19";\N;"3.75";"29";"77.777801514";"33.993801116943"
"190";"804";"8112";"2003-11-19";\N;"4.25";"29";"71.761703491";"26.057800292969"
"191";"804";"8114";"2003-11-21";\N;"0.25";"7.5";"75.537002563";"15.536800384521"
"192";"804";"8114";"2003-11-21";\N;"0.75";"7.5";"71.983200073";"14.808500289917"
"193";"804";"8114";"2003-11-21";\N;"1.25";"7.5";"68.163299561";"15.114399909973"
"194";"804";"8114";"2003-11-21";\N;"2.25";"7.5";"65.397201538";"14.518300056458"
"195";"804";"8114";"2003-11-21";\N;"2.75";"7.5";"64.619697571";"14.538200378418"
"196";"804";"8114";"2003-11-21";\N;"5.75";"7.5";"60.596500397";"14.805500030518"
"197";"804";"8114";"2003-11-21";\N;"7.25";"7.5";"60.61289978";"15.490900039673"
"198";"804";"8114";"2003-11-21";\N;"7.75";"7.5";"57.537700653";"14.745200157166"
"199";"804";"8114";"2003-11-21";\N;"9.75";"7.5";"63.732398987";"15.612700462341"
"200";"804";"8114";"2003-11-21";\N;"10.25";"7.5";"62.739898682";"14.786800384521"
"201";"804";"8115";"2003-11-21";\N;"0.25";"36";"88.99079895";"15.071999549866"
"202";"804";"8115";"2003-11-21";\N;"0.75";"36";"84.722198486";"14.459799766541"
"203";"804";"8115";"2003-11-21";\N;"1.25";"36";"85.454498291";"14.679100036621"
"204";"804";"8115";"2003-11-21";\N;"1.75";"36";"81.188102722";"14.42679977417"
"205";"804";"8115";"2003-11-21";\N;"2.25";"36";"78.383499146";"13.619500160217"
"206";"804";"8115";"2003-11-21";\N;"2.75";"36";"76.068397522";"13.220399856567"
"207";"804";"8115";"2003-11-21";\N;"3.25";"36";"74.4559021";"13.751399993896"
"208";"804";"8115";"2003-11-21";\N;"3.75";"36";"73.163398743";"13.429200172424"
"209";"804";"8115";"2003-11-21";\N;"6.75";"36";"68.018600464";"13.008799552917"
"210";"804";"8115";"2003-11-21";\N;"9.25";"36";"59.4477005";"11.939999580383"
"211";"804";"8115";"2003-11-21";\N;"9.75";"36";"59.626499176";"11.92440032959"
"212";"804";"8115";"2003-11-21";\N;"10.25";"36";"57.066299438";"11.461199760437"
"213";"807";"8127";"2004-03-17";\N;"0.5";"2";"28.265800476";"1.2733099460602"
"214";"807";"8127";"2004-03-17";\N;"1.5";"2";"34.978599548";"0.8343989849091"
"215";"807";"8127";"2004-03-17";\N;"2.5";"2";"23.61300087";"0.7055850028992"
"216";"807";"8127";"2004-03-17";\N;"3.5";"2";"29.989099503";"1.0544300079346"
"217";"807";"8127";"2004-03-17";\N;"4.5";"2";"26.971000671";"1.1645200252533"
"218";"810";"8127";"2004-07-13";\N;"0.5";"2";"31.174100876";"6.7532501220703"
"219";"810";"8127";"2004-07-13";\N;"1.5";"2";"23.55039978";"7.9545497894287"
"220";"810";"8127";"2004-07-13";\N;"2.5";"2";"29.701999664";"4.1522498130798"
"221";"810";"8127";"2004-07-13";\N;"3.5";"2";"34.003700256";"3.7634398937225"
"222";"807";"8128";"2004-03-15";\N;"0.5";"26.399999619";"79.389900208";"1.3877600431442"
"223";"807";"8128";"2004-03-15";\N;"1.5";"26.399999619";"77.493499756";"2.2475399971008"
"224";"807";"8128";"2004-03-15";\N;"2.5";"26.399999619";"70.407699585";"2.903589963913"
"225";"807";"8128";"2004-03-15";\N;"3.5";"26.399999619";"58.757301331";"3.3824799060822"
"226";"807";"8128";"2004-03-15";\N;"4.5";"26.399999619";"55.268798828";"2.993880033493"
"227";"807";"8128";"2004-03-15";\N;"7.5";"26.399999619";"50.630001068";"4.0817499160767"
"228";"807";"8128";"2004-03-15";\N;"10.5";"26.399999619";"54.455101013";"3.2013700008392"
"229";"807";"8129";"2004-03-16";\N;"0.5";"56";"81.73639679";"1.8525799512863"
"230";"807";"8129";"2004-03-16";\N;"1.5";"56";"78.650802612";"2.0354800224304"
"231";"807";"8129";"2004-03-16";\N;"2.5";"56";"79.73500061";"1.8979300260544"
"232";"807";"8129";"2004-03-16";\N;"3.5";"56";"77.649200439";"1.1887600421906"
"233";"807";"8129";"2004-03-16";\N;"4.5";"56";"79.411201477";"2.2653200626373"
"234";"807";"8129";"2004-03-16";\N;"5.5";"56";"62.879199982";"3.8381400108337"
"235";"807";"8130";"2004-03-16";\N;"0.5";"35.5";"81.995498657";"1.299399971962"
"236";"807";"8130";"2004-03-16";\N;"1.5";"35.5";"75.723503113";"2.0052299499512"
"237";"807";"8130";"2004-03-16";\N;"2.5";"35.5";"63.136600494";"1.9920200109482"
"238";"807";"8130";"2004-03-16";\N;"3.5";"35.5";"50.991199493";"2.5102200508118"
"239";"807";"8130";"2004-03-16";\N;"4.5";"35.5";"48.090400696";"2.3519699573517"
"240";"807";"8131";"2004-03-18";\N;"0.5";"15";"82.216300964";"1.5845999717712"
"241";"807";"8131";"2004-03-18";\N;"1.5";"15";"77.669403076";"2.148619890213"
"242";"807";"8131";"2004-03-18";\N;"2.5";"15";"74.910301208";"2.2732300758362"
"243";"807";"8131";"2004-03-18";\N;"3.5";"15";"74.679702759";"2.3811299800873"
"244";"807";"8131";"2004-03-18";\N;"4.5";"15";"74.789199829";"2.9531700611115"
"245";"810";"8131";"2004-07-14";\N;"0.5";"21.200000763";"84.19960022";"2.7160499095917"
"246";"810";"8131";"2004-07-14";\N;"1.5";"21.200000763";"82.448501587";"3.9421799182892"
"247";"810";"8131";"2004-07-14";\N;"2.5";"21.200000763";"83.894203186";"3.7249300479889"
"248";"810";"8131";"2004-07-14";\N;"3.5";"21.200000763";"82.586402893";"4.0310101509094"
"249";"807";"8132";"2004-03-18";\N;"0.5";"23";"87.474700928";"2.2087700366974"
"250";"807";"8132";"2004-03-18";\N;"1.5";"23";"85.980102539";"2.0369598865509"
"251";"807";"8132";"2004-03-18";\N;"2.5";"23";"84.645698547";"2.5768399238586"
"252";"807";"8132";"2004-03-18";\N;"3.5";"23";"84.598197937";"2.1957900524139"
"253";"807";"8132";"2004-03-18";\N;"4.5";"23";"81.876296997";"2.3011400699615"
"254";"807";"8133";"2004-03-19";\N;"0.5";"11";"71.50969696";"2.6093399524689"
"255";"807";"8133";"2004-03-19";\N;"1.5";"11";"65.544700623";"2.9470500946045"
"256";"807";"8133";"2004-03-19";\N;"2.5";"11";"58.645801544";"2.7542300224304"
"257";"807";"8133";"2004-03-19";\N;"3.5";"11";"62.470600128";"2.9730401039124"
"258";"807";"8133";"2004-03-19";\N;"4.5";"11";"57.232398987";"3.3959999084473"
"259";"810";"8133";"2004-07-16";\N;"0.5";"13.399999619";"64.787498474";"6.5595698356628"
"260";"810";"8133";"2004-07-16";\N;"1.5";"13.399999619";"61.519298553";"7.6923098564148"
"261";"810";"8133";"2004-07-16";\N;"2.5";"13.399999619";"59.049098969";"8.8311700820923"
"262";"810";"8133";"2004-07-16";\N;"3.5";"13.399999619";"58.65719986";"9.3373498916626"
"263";"807";"8134";"2004-03-19";\N;"0.5";"36";"65.228996277";"1.8186299800873"
"264";"807";"8134";"2004-03-19";\N;"1.5";"36";"61.601501465";"2.33109998703"
"265";"807";"8134";"2004-03-19";\N;"2.5";"36";"61.071601868";"2.7759499549866"
"266";"807";"8134";"2004-03-19";\N;"3.5";"36";"61.464500427";"3.4526600837708"
"267";"807";"8134";"2004-03-19";\N;"4.5";"36";"58.546298981";"2.7425999641418"
"268";"810";"8135";"2004-07-13";\N;"0.5";"28";"54.491001129";"10.989000320435"
"269";"810";"8135";"2004-07-13";\N;"1.5";"28";"73.684196472";"4.9833898544312"
"270";"810";"8135";"2004-07-13";\N;"2.5";"28";"72.961402893";"5.0980401039124"
"271";"810";"8135";"2004-07-13";\N;"3.5";"28";"68.421096802";"5.6856198310852"
"272";"810";"8136";"2004-07-12";\N;"0.5";"30.399999619";"83.710800171";"3.3298599720001"
"273";"810";"8136";"2004-07-12";\N;"1.5";"30.399999619";"63.820201874";"8.4506998062134"
"274";"810";"8136";"2004-07-12";\N;"2.5";"30.399999619";"61.936901093";"8.1212100982666"
"275";"810";"8136";"2004-07-12";\N;"3.5";"30.399999619";"46.666698456";"10.119000434875"
"276";"810";"8137";"2004-07-12";\N;"0.5";"51";"89.179100037";"1.8828500509262"
"277";"810";"8137";"2004-07-12";\N;"1.5";"51";"83.871002197";"2.9352200031281"
