"idConcentracaoGasAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"batimetria";"altura";"replica";"CH4";"CO2"
"113";"206";"2058";"2007-07-24";"10:04:00";"35";"0.5";\N;"0.0072774701";"0.1048260033"
"114";"206";"2059";"2007-07-24";"09:35:00";"2.0999999046";"10";\N;"0.00179637";"0.0711231008"
"115";"206";"2059";"2007-07-24";"09:35:00";"2.0999999046";"5";\N;"0.00196794";"0.0478973985"
"116";"206";"2059";"2007-07-24";"09:35:00";"2.0999999046";"0.5";\N;"0.0014313899";"0.0991253033"
"117";"206";"2060";"2007-07-25";"11:30:00";"30";"10";\N;"0.1399739981";"0.1573770046"
"118";"206";"2060";"2007-07-25";"11:30:00";"30";"5";\N;"0.0230650995";"0.1642339975"
"119";"206";"2060";"2007-07-25";"11:30:00";"30";"0.5";\N;"0.0340767018";"0.197262004"
"120";"206";"2061";"2007-07-25";"11:00:00";"2.2000000477";"10";\N;"0.00507442";"0.1164349988"
"121";"206";"2061";"2007-07-25";"11:00:00";"2.2000000477";"5";\N;"0.0047935802";"0.1311279982"
"122";"206";"2061";"2007-07-25";"11:00:00";"2.2000000477";"0.5";\N;"0.00300929";"0.148010999"
"123";"206";"2062";"2007-07-26";"12:52:00";"5.5";"10";\N;"9.37303e-4";"0.0363431014"
"124";"206";"2062";"2007-07-26";"12:52:00";"5.5";"5";\N;"9.6918998e-4";"0.0530245006"
"125";"206";"2062";"2007-07-26";"12:52:00";"5.5";"0.5";\N;"0.00108987";"0.061900299"
"126";"206";"2069";"2007-07-26";"12:08:00";"24";"10";\N;"0.0308368001";"0.1150100008"
"127";"206";"2069";"2007-07-26";"12:08:00";"24";"5";\N;"0.0262938999";"0.1287059933"
"128";"206";"2069";"2007-07-26";"12:08:00";"24";"0.5";\N;"0.0304993";"0.120990999"
"129";"206";"2072";"2007-07-26";"11:43:00";"2";"10";\N;"0.00180869";"0.1091659963"
"130";"206";"2072";"2007-07-26";"11:43:00";"2";"5";\N;"0.00143643";"0.1152110025"
"131";"206";"2072";"2007-07-26";"11:43:00";"2";"0.5";\N;"0.0109844003";"0.1466539949"
"132";"804";"8115";"2003-11-21";\N;"36";"0.5";"2";"0.3447369933";"0.2712520063"
"133";"804";"8115";"2003-11-21";\N;"36";"0.5";"2";"0.3451279998";"0.2516329885"
"134";"804";"8115";"2003-11-21";\N;"36";"20";"3";"0.0100210002";"0.1903049946"
"135";"804";"8115";"2003-11-21";\N;"36";"10";"3";"0.0175219998";"0.1884689927"
"136";"804";"8115";"2003-11-21";\N;"36";"5";"3";"0.0215355009";"0.218373999"
"137";"804";"8115";"2003-11-21";\N;"36";"0.5";"3";"0.052122701";"0.2433100045"
"138";"804";"8113";"2003-11-19";\N;"27";"30";\N;"0.1591639966";"0.3313690126"
"139";"804";"8113";"2003-11-19";\N;"27";"20";\N;"0.2322849929";"0.4225380123"
"140";"804";"8113";"2003-11-19";\N;"27";"10";\N;"0.2895950079";"0.478978008"
"141";"804";"8113";"2003-11-19";\N;"27";"5";\N;"0.3160249889";"0.543374002"
"142";"804";"8113";"2003-11-19";\N;"27";"0.5";\N;"0.3066700101";"0.65426898"
"143";"804";"8110";"2003-11-18";\N;"96";"47";"1";"0.2360779941";"0.3221319914"
"144";"804";"8110";"2003-11-18";\N;"96";"30";"1";"0.2608770132";"0.4106589854"
"145";"804";"8110";"2003-11-18";\N;"96";"20";"1";"0.2405910045";"0.3568600118"
"146";"804";"8110";"2003-11-18";\N;"96";"10";"1";"0.239113003";"0.3564530015"
"147";"804";"8110";"2003-11-18";\N;"96";"0.5";"1";"0.1801249981";"0.3256359994"
"148";"804";"8110";"2003-11-18";\N;"96";"30";\N;"0.0657209009";"0.2288790047"
"149";"804";"8110";"2003-11-18";\N;"96";"20";\N;"0.0844947025";"0.3217130005"
"150";"804";"8110";"2003-11-18";\N;"96";"20";\N;"0.0715992004";"0.2379769981"
"151";"804";"8110";"2003-11-18";\N;"96";"10";\N;"0.0863671973";"0.2952049971"
"152";"804";"8110";"2003-11-18";\N;"96";"10";\N;"0.1093259975";"0.324624002"
"153";"804";"8110";"2003-11-18";\N;"96";"4";\N;"0.1607789993";"0.4726060033"
"154";"804";"8110";"2003-11-18";\N;"96";"4";\N;"0.1895470023";"0.5472559929"
"155";"804";"8110";"2003-11-18";\N;"96";"0.5";\N;"0.3713850081";"0.985296011"
"156";"804";"8110";"2003-11-18";\N;"96";"20";"2";"0.0826660991";"0.277534008"
"157";"804";"8110";"2003-11-18";\N;"96";"20";"2";"0.0723628998";"0.2792679965"
"158";"804";"8110";"2003-11-18";\N;"96";"10";"2";"0.1020710021";"0.3419930041"
"159";"804";"8110";"2003-11-18";\N;"96";"10";"2";"0.1121950001";"0.3141410053"
"160";"804";"8110";"2003-11-18";\N;"96";"5";"2";"0.1549479961";"0.3510920107"
"161";"804";"8110";"2003-11-18";\N;"96";"5";"2";"0.178937003";"0.3466730118"
"162";"804";"8110";"2003-11-18";\N;"96";"0.5";"2";"0.4368309975";"0.7519599795"
"163";"804";"8110";"2003-11-18";\N;"96";"0.5";"2";"0.4147349894";"0.4551340044"
"164";"804";"8112";"2003-11-19";\N;"29";"30";"2";"0.4170460105";"0.4159710109"
"165";"804";"8112";"2003-11-19";\N;"29";"20";"2";"0.4536210001";"0.6369739771"
"166";"804";"8112";"2003-11-19";\N;"29";"10";"2";"0.4148940146";"0.5123090148"
"167";"804";"8112";"2003-11-19";\N;"29";"5";"2";"0.3785629869";"0.489071995"
"168";"804";"8112";"2003-11-19";\N;"29";"0.5";"2";"0.3820550144";"0.4952720106"
"169";"804";"8114";"2003-11-21";\N;"7.5";"0.5";"4";"0.0181684997";"0.1888010055"
"170";"804";"8114";"2003-11-21";\N;"7.5";"0.5";"4";"0.0247463994";"0.2050510049"
"171";"807";"8127";"2004-03-17";\N;"2";"20";"2";"0.0120479995";"0.1209679991"
"172";"807";"8127";"2004-03-17";\N;"2";"10";"2";"0.0168309994";"0.1469260007"
"173";"807";"8127";"2004-03-17";\N;"2";"5";"2";"0.0186023004";"0.1294820011"
"174";"807";"8127";"2004-03-17";\N;"2";"0.5";"2";"0.0169615";"0.138429001"
"175";"807";"8128";"2004-03-15";\N;"26.399999619";"20";"1";"0.0633943975";"0.1998610049"
"176";"807";"8128";"2004-03-15";\N;"26.399999619";"10";"1";"0.1327809989";"0.2782959938"
"177";"807";"8128";"2004-03-15";\N;"26.399999619";"5";"1";"0.1617649943";"0.3518210053"
"178";"807";"8128";"2004-03-15";\N;"26.399999619";"0.5";"1";"0.1498599946";"0.3352009952"
"179";"807";"8128";"2004-03-15";\N;"26.399999619";"30";"3";"0.0740789995";"0.2077089995"
"180";"807";"8128";"2004-03-15";\N;"26.399999619";"20";"3";"0.1133169979";"0.2731269896"
"181";"807";"8128";"2004-03-15";\N;"26.399999619";"12";"3";"0.1141479984";"0.2736499906"
"182";"807";"8128";"2004-03-15";\N;"26.399999619";"5";"3";"0.1079140007";"0.2725479901"
"183";"807";"8128";"2004-03-15";\N;"26.399999619";"0.5";"3";"0.1276739985";"0.3201220036"
"184";"807";"8129";"2004-03-16";\N;"56";"20";"4";"0";"0.144964993"
"185";"807";"8129";"2004-03-16";\N;"56";"10";"4";"0";"0.1611389965"
"186";"807";"8129";"2004-03-16";\N;"56";"5";"4";"0";"0.155527994"
"187";"807";"8129";"2004-03-16";\N;"56";"0.5";"4";"0.0053194501";"0.1904270053"
"188";"807";"8130";"2004-03-16";\N;"35.5";"20";\N;"0.281686008";"0.5532000065"
"189";"807";"8130";"2004-03-16";\N;"35.5";"10";\N;"0.2861919999";"0.5422739983"
"190";"807";"8130";"2004-03-16";\N;"35.5";"5";\N;"0.2348030061";"0.427143991"
"191";"807";"8130";"2004-03-16";\N;"35.5";"0.5";\N;"0.2627370059";"0.5934630036"
"192";"807";"8131";"2004-03-18";\N;"15";"20";"2";"0.0072919098";"0.1867409945"
"193";"807";"8131";"2004-03-18";\N;"15";"10";"2";"0.0087641003";"0.2164960057"
"194";"807";"8131";"2004-03-18";\N;"15";"5";"2";"0.0130399996";"0.2386340052"
"195";"807";"8131";"2004-03-18";\N;"15";"0.5";"2";"0.0090036504";"0.2503040135"
"196";"807";"8132";"2004-03-18";\N;"23";"20";"1";"0";"0.0950006992"
"197";"807";"8132";"2004-03-18";\N;"23";"10";"1";"0";"0.1283670068"
"198";"807";"8132";"2004-03-18";\N;"23";"5";"1";"0";"0.1273349971"
"199";"807";"8132";"2004-03-18";\N;"23";"0.5";"1";"0";"0.1320900023"
"200";"807";"8133";"2004-03-19";\N;"11";"20";"1";"0.0074954899";"0.0916144028"
"201";"807";"8133";"2004-03-19";\N;"11";"10";"1";"0.0026825501";"0.1225939989"
"202";"807";"8133";"2004-03-19";\N;"11";"5";"1";"0.0031000699";"0.1155899987"
"203";"807";"8133";"2004-03-19";\N;"11";"0.5";"1";"0.0017103";"0.1090060025"
"204";"807";"8134";"2004-03-19";\N;"36";"20";"3";"0";"0.049718"
"205";"807";"8134";"2004-03-19";\N;"36";"10";"3";"0";"0.0606282987"
"206";"807";"8134";"2004-03-19";\N;"36";"5";"3";"0";"0.0649555996"
"207";"807";"8134";"2004-03-19";\N;"36";"0.5";"3";"0";"0.0496522002"
