"idBolhas";"idCampanha";"idSitio";"profundidade";"nroDeFunis";"volumeColetado";"CO2";"O2";"N2";"CH4";"N2O";"dataMedida";"horaMedida"
"183";"1201";"12018";"5";"3";"330";"2";"18.5";"92.699996948";"124.59999847";"1.2300000191";"2004-11-23";"11:52:00"
"184";"1201";"12018";"10";"3";"39";"0.1000000015";"6.8000001907";"21.899999619";"5.8000001907";"0.2199999988";"2004-11-23";"12:05:00"
"185";"1201";"12018";"20";"2";"0";"0";"0";"0";"0";"0";"2004-11-23";"12:12:00"
"186";"1201";"12019";"10";"3";"110";"0.5";"11.800000191";"48.599998474";"30.100000381";"0.400000006";"2004-11-23";"12:32:00"
"187";"1201";"12019";"20";"2";"22";"5.3000001907";"6.3000001907";"17.600000381";"5.4000000954";\N;"2004-11-23";"12:20:00"
"188";"1201";"12020";"5";"3";"140";"0.5";"11.699999809";"80.900001526";"30.399999619";"0.3000000119";"2004-11-24";"12:50:00"
"189";"1201";"12020";"10";"3";"47";\N;"9.3000001907";"29.200000763";"6.9000000954";"0.1700000018";"2004-11-24";"12:40:00"
"190";"1201";"12020";"20";"2";"8";\N;"3";"9.3000001907";"0.5";\N;"2004-11-24";"12:30:00"
"191";"1201";"12021";"5";"3";"58";"0.1000000015";"10.699999809";"45.400001526";"4.6999998093";"0.1199999973";"2004-11-25";"12:47:00"
"192";"1201";"12021";"10";"3";"0";"0";"0";"0";"0";"0";"2004-11-25";"12:05:00"
"193";"1201";"12021";"20";"2";"0";"0";"0";"0";"0";"0";"2004-11-25";"12:59:00"
"194";"1201";"12022";"5";"3";"85";"0.1000000015";"8.8000001907";"46.5";"22.299999237";"0.1199999973";"2004-11-25";"13:05:00"
"195";"1201";"12022";"10";"3";"0";"0";"0";"0";"0";"0";"2004-11-25";"13:10:00"
"196";"1201";"12023";"6";"3";"323";"0.6999999881";"49.900001526";"245.80000305";"70.800003052";\N;"2004-11-26";"08:25:00"
"197";"1201";"12023";"10";"3";"0";"0";"0";"0";"0";"0";"2004-11-26";"08:29:00"
"198";"1201";"12023";"19";"2";"0";"0";"0";"0";"0";"0";"2004-11-26";"08:35:00"
