"idIonsNaAguaIntersticialDoSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"F";"Cl";"NO2";"Br";"NO3";"PO4";"SO4";"Na";"NH4";"K";"Mg";"Ca";"acetato";"dataMedida";"horaMedida"
"103";"204";"2061";"2.5";"7.3000001907";\N;\N;\N;\N;"60.414600372";\N;"182.83200073";\N;"3560.6101074";\N;\N;\N;"6.1548800468";"2007-03-28";"10:21:00"
"104";"204";"2061";"3.5";"7.3000001907";\N;\N;\N;\N;"69.221702576";\N;"282.94799805";\N;"4476.7202148";\N;\N;\N;"5.542719841";"2007-03-28";"10:21:00"
"105";"206";"2061";"0.5";"2.2000000477";\N;\N;\N;\N;"91.446403503";\N;"684.86102295";\N;"1608.9499512";\N;\N;\N;"10.240200043";"2007-07-25";"11:00:00"
"106";"206";"2061";"1.5";"2.2000000477";\N;\N;\N;\N;"10.945799828";\N;"235.09100342";\N;"3164.4899902";\N;\N;\N;"8.4270296097";"2007-07-25";"11:00:00"
"107";"206";"2061";"2.5";"2.2000000477";\N;\N;\N;\N;"11.174699783";\N;"177.83900452";\N;"3716.3798828";\N;\N;\N;"7.5636501312";"2007-07-25";"11:00:00"
"108";"206";"2061";"3.5";"2.2000000477";\N;\N;\N;\N;"9.1854400635";\N;"185.10600281";\N;"4617.6601562";\N;\N;\N;"7.1861200333";"2007-07-25";"11:00:00"
"109";"202";"2062";"0.5";"3.4000000954";\N;\N;\N;\N;"183.15800476";\N;"1488.5999756";\N;"2090.3701172";\N;\N;\N;"18.498399734";"2006-11-21";"11:44:00"
"110";"202";"2062";"1.5";"3.4000000954";\N;\N;\N;\N;"106.25900269";\N;"1739.8599854";\N;"2269.1499023";\N;\N;\N;"19.096099854";"2006-11-21";"11:44:00"
"111";"202";"2062";"2.5";"3.4000000954";\N;\N;\N;\N;"11.757800102";\N;"2029.1300049";\N;"2609.6298828";\N;\N;\N;"21.976800919";"2006-11-21";"11:44:00"
"112";"202";"2062";"3.5";"3.4000000954";\N;\N;\N;\N;"12.482600212";\N;"2055.2700195";\N;"2838.1000977";\N;\N;\N;"19.447500229";"2006-11-21";"11:44:00"
"113";"204";"2062";"0.5";"11";\N;\N;\N;\N;"27.38809967";\N;"2615.6799316";\N;"1525.1300049";\N;\N;\N;"10.284000397";"2007-03-27";"10:53:00"
"114";"204";"2062";"1.5";"11";\N;\N;\N;\N;"55.368000031";\N;"2044.2700195";\N;"2763.1799316";\N;\N;\N;"14.984800339";"2007-03-27";"10:53:00"
"115";"204";"2062";"2.5";"11";\N;\N;\N;\N;"28.919599533";\N;"1115.1800537";\N;"5826.7900391";\N;\N;\N;"13.76760006";"2007-03-27";"10:53:00"
"116";"204";"2062";"3.5";"11";\N;\N;\N;\N;"25.993000031";\N;"516.39398193";\N;"7949.0600586";\N;\N;\N;"11.040100098";"2007-03-27";"10:53:00"
"117";"206";"2062";"0.5";"5.5";\N;\N;\N;\N;"38.604099274";\N;"1625.3800049";\N;"1815.1700439";\N;\N;\N;"6.5771298409";"2007-07-26";"12:52:00"
"118";"206";"2062";"1.5";"5.5";\N;\N;\N;\N;"34.113300323";\N;"808.09997559";\N;"2581.4399414";\N;\N;\N;"5.7259101868";"2007-07-26";"12:52:00"
"119";"206";"2062";"2.5";"5.5";\N;\N;\N;\N;"17.305799484";\N;"472.41299438";\N;"4605.0498047";\N;\N;\N;"6.2310199738";"2007-07-26";"12:52:00"
"120";"206";"2062";"3.5";"5.5";\N;\N;\N;\N;"10.771400452";\N;"281.99899292";\N;"5231.8701172";\N;\N;\N;"6.0156497955";"2007-07-26";"12:52:00"
"121";"202";"2063";"0.5";"6.5999999046";\N;\N;\N;\N;"11.986700058";\N;"1045.7800293";\N;"1890.0899658";\N;\N;\N;"4.4257102013";"2006-11-21";"10:55:00"
"122";"202";"2063";"1.5";"6.5999999046";\N;\N;\N;\N;"14.700799942";\N;"185.69200134";\N;"2624.4699707";\N;\N;\N;"4.1824698448";"2006-11-21";"10:55:00"
"123";"202";"2063";"2.5";"6.5999999046";\N;\N;\N;\N;"10.836799622";\N;"131.75999451";\N;"3053.2199707";\N;\N;\N;"4.4183602333";"2006-11-21";"10:55:00"
