"idMedidaCampoSuperficie";"idCampanha";"idSitio";"secchi";"tempAgua";"condutividade";"DO";"pH";"turbidez";"materialEmSuspensao";"dataMedida";"horaMedida"
"17";"806";"8121";"0.6000000238";"27.680000305";"66.1999969482";\N;\N;\N;\N;"2004-03-18";\N
"18";"809";"8121";"2.9000000954";"26.600000381";"105.099998474";"6.9699997902";"6.7100000381";"1.4299999475";"1.2857099771499634";"2004-07-14";\N
"19";"802";"8122";"3.5";"28.600000381";"102";"7.5";"8.0699996948";"1.2000000477";\N;"2003-11-18";\N
"20";"806";"8122";\N;\N;"107.199996948";\N;"8.1499996185";\N;"11.66670036315918";"2004-03-18";\N
"21";"809";"8122";"2.2000000477";"26.5";"81.0999984741";"6.8200001717";"7.4600000381";"2.7000000477";"2.571429967880249";"2004-07-12";\N
"22";"1002";"10079";"0.3000000119";"28.5";"53";"6.9400000572";"7.5999999046";"2.7000000477";\N;"2003-11-25";\N
"23";"1006";"10079";"1.3999999762";"32.169998169";"43.2000007629";"6.5";\N;\N;"14.66670036315918";"2004-03-25";\N
"24";"1009";"10079";"1.5";"25.700000763";"92.4000015259";"7.6300001144";"7.8200001717";"2.9000000954";"6.1875";"2004-07-19";\N
"25";"1002";"10080";"2.0999999046";"29.5";"86";"6.8600001335";"7.9099998474";"2";\N;"2003-11-25";\N
"26";"1006";"10080";"1.7999999523";"31";"48.2999992371";"6.9099998474";"7.3800001144";\N;"13.66670036315918";"2004-03-25";\N
"27";"1009";"10080";"2.0999999046";"25.5";"67.3000030518";"6.5199999809";"7.3800001144";"2.0999999046";"4.3125";"2004-07-19";\N
"28";"1002";"10081";\N;"29.299999237";\N;"6.6500000954";"7.8299999237";"1.3999999762";\N;"2003-11-25";\N
"29";"1006";"10081";"3.2000000477";"30.200000763";"37.4000015259";"7.4800000191";"7.4600000381";\N;"7.5";"2004-03-25";\N
"30";"1009";"10081";"1.7999999523";"25.299999237";"39.7000007629";"5.6599998474";"7.4000000954";"1.8999999762";"1.625";"2004-07-19";\N
"31";"1002";"10082";"2";"29.299999237";"43";"6.7100000381";"8.029999733";"1.5";\N;"2003-11-25";\N
"32";"1006";"10082";"4.5";"30.399999619";"28.2000007629";"7.6399998665";"6.5199999809";\N;"5";"2004-03-25";\N
"33";"1009";"10082";"1.8999999762";"24.799999237";"40";"4.0999999046";"6.7300000191";"2.0999999046";"2.527780055999756";"2004-07-20";\N
"34";"1002";"10083";\N;\N;\N;"4.3499999046";"8.1999998093";\N;\N;"2003-11-25";\N
"35";"1009";"10083";\N;\N;\N;\N;"7.25";\N;"2.1818199157714844";"2004-07-22";\N
"36";"1002";"10084";"2.2999999523";"28.899999619";"46";"7.9000000954";"7.8200001717";"1.8999999762";\N;"2003-11-25";\N
"37";"1006";"10084";"3";"30.700000763";"42.0999984741";"6.7899999619";"7.6700000763";\N;"10.16670036315918";"2004-03-25";\N
"38";"1009";"10084";"2.7000000477";"25.299999237";"41.9000015259";"5.0199999809";"7.1300001144";"2";\N;"2004-07-19";\N
"39";"1002";"10085";"2.2999999523";"29.5";"46";"8.029999733";"7.9200000763";"1.7999999523";\N;"2003-11-25";\N
"40";"1006";"10085";"2.5";"31.200000763";"43.2999992371";"7.1100001335";"7.7800002098";\N;"6";"2004-03-25";\N
"41";"1009";"10085";"3";"25.600000381";"42.9000015259";"5.7699999809";"7.0999999046";"1.3999999762";"2.7301599979400635";"2004-07-19";\N
"42";"1002";"10086";"0.200000003";"28.100000381";"8.30000019073";"4.8800001144";"6.7699999809";"5.8000001907";\N;"2003-11-25";\N
"43";"1006";"10086";"0.6000000238";"30.600000381";"14";"6.8400001526";"6.8000001907";\N;"12.16670036315918";"2004-03-25";\N
"44";"1009";"10086";"1.2000000477";"23.600000381";"9.10000038147";"6.5500001907";"6.0999999046";"5.9000000954";"5.636360168457031";"2004-07-22";\N
"45";"1002";"10087";"2";"28.600000381";"30.5";"6.5100002289";"7.5";"2";\N;"2003-11-25";\N
"46";"1006";"10087";\N;"30.399999619";"26.3999996185";"6.4899997711";"7.2300000191";\N;\N;"2004-03-25";\N
"47";"1009";"10087";"3.9000000954";"25.100000381";"27.7999992371";"6.1999998093";"6.8499999046";"1";"0.25";"2004-07-22";\N
"48";"1002";"10088";"0.5";"27.700000763";"10.3000001907";"6.1500000954";"6.9200000763";"1.3999999762";\N;"2003-11-25";\N
"49";"1006";"10088";"0.6000000238";"26.5";"21.5";"5.4800000191";"6.9499998093";\N;\N;"2004-03-25";\N
"50";"1009";"10088";"0.6000000238";"23.600000381";"12.6000003815";"5.6700000763";"6.7800002098";"12";"7.5";"2004-07-20";\N
"51";"1002";"10089";"1.7000000477";"29.200000763";"13.3999996185";"7.0599999428";"7.5900001526";"3.0999999046";\N;"2003-11-25";\N
"52";"1006";"10089";"2.0999999046";"31.700000763";"24.2999992371";"6.9000000954";"7.3699998856";\N;\N;"2004-03-25";\N
"53";"1009";"10089";"1.8999999762";"26.700000763";"14.1999998093";"6.0300002098";"6.8400001526";"2.7999999523";"4.4863600730896";"2004-07-20";\N
"54";"1002";"10090";"2";"28.600000381";"31.5";"6.5";"7.5199999809";"1.7999999523";\N;"2003-11-25";\N
"55";"1006";"10090";"4.4000000954";"30.600000381";"26.2999992371";"6.1999998093";"7.4800000191";\N;\N;"2004-03-25";\N
"56";"1009";"10090";"3.7000000477";"26.299999237";"27.7999992371";"6.75";"6.8499999046";"1";"1.1666699647903442";"2004-07-20";\N
"57";"1002";"10091";"2";"29.5";"32.5";"6.5599999428";"7.6199998856";"2.2000000477";\N;"2003-11-25";\N
"58";"1006";"10091";"4.3000001907";"30.899999619";"26.3999996185";"7.5300002098";"7.2800002098";\N;"7.5";"2004-03-25";\N
"59";"1009";"10091";"3.5";"25.399999619";"28.2000007629";"6.1500000954";"6.7800002098";"0.8999999762";"1.25";"2004-07-22";\N
"60";"1202";"12135";\N;"24.700000763";"300.5";"3.9802000523";"7.25";"7.25";"2.4000000953674316";"2004-11-21";\N
"61";"1205";"12135";"0.3000000119";"26";"213.300003052";"5.3895998001";"7.1100001335";"7.1100001335";"7.184850215911865";"2005-03-19";\N
"62";"1208";"12135";\N;"22.899999619";"308.100006104";"4.3365998268";"7.3200001717";"7.3200001717";"8.600000381469727";"2005-08-28";\N
"63";"1202";"12136";"4.0999999046";"27";"294.700012207";"6.3372998238";"7.6199998856";"7.6199998856";"1.2000000476837158";"2004-11-20";\N
"64";"1205";"12136";"3.5";"29.399999619";"323.899993896";"5.5191998482";"7.5399999619";"7.5399999619";"6.98484992980957";"2005-03-18";\N
"65";"1208";"12136";"4.4000000954";"25.399999619";"500.100006104";"5.964700222";"7.5100002289";"7.5100002289";"3.200000047683716";"2005-08-25";\N
"66";"1202";"12137";"3.7000000477";"27.200000763";"326.200012207";"6.3777999878";"7.6900000572";\N;"3.200000047683716";"2004-11-20";\N
"67";"1205";"12137";"3";"29.200000763";"222";"6.1753001213";"7.4899997711";"7.4899997711";"5.084849834442139";"2005-03-18";\N
"68";"1208";"12137";"5.3000001907";"24.799999237";"648.200012207";"6.5883998871";"7.6999998093";"7.6999998093";"3.5999999046325684";"2005-08-25";\N
"69";"1202";"12138";\N;"28.399999619";\N;"4.0206999779";"7.3099999428";"7.3099999428";"3.4000000953674316";"2004-11-20";\N
"70";"1205";"12138";"0.5";"28.700000763";"210.800003052";"5.8027000427";"7.3499999046";"7.3499999046";"5.98484992980957";"2005-03-20";\N
