"idFluxoBolhasInpe";"idCampanha";"idSitio";"profundidade";"CH4";"CH4_desvioPadrao";"CH4_amostras";"dataMedida";"horaMedida"
"166";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"21:00:00"
"167";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"22:00:00"
"168";"1303";"13118";"3";"27.667800903";"36.0340003967285";"9";"2005-03-18";"23:00:00"
"169";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"00:00:00"
"170";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"01:00:00"
"171";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"02:00:00"
"172";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"03:00:00"
"173";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"04:00:00"
"174";"1303";"13118";"3";"0.2874940038";"0.90913701057434";"9";"2005-03-19";"05:00:00"
"175";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"06:00:00"
"176";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"07:00:00"
"177";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"08:00:00"
"178";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"09:00:00"
"179";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"10:00:00"
"180";"1303";"13118";"3";"0";"0";"9";"2005-03-19";"11:00:00"
"181";"1307";"13118";"5";"689.21801758";"433.533996582031";"7";"2005-08-23";"11:00:00"
"182";"1307";"13118";"5";"924.27099609";"491.847991943359";"7";"2005-08-23";"12:00:00"
"183";"1307";"13118";"5";"986.55401611";"324.123992919922";"7";"2005-08-23";"13:00:00"
"184";"1307";"13118";"5";"652.69500732";"266.658996582031";"7";"2005-08-23";"14:00:00"
"185";"1307";"13118";"5";"641.12597656";"252.458999633789";"7";"2005-08-23";"15:00:00"
"186";"1307";"13118";"5";"594.92401123";"161.526992797852";"7";"2005-08-23";"16:00:00"
"187";"1307";"13118";"5";"363.93701172";"102.400001525879";"7";"2005-08-23";"17:00:00"
"188";"1307";"13118";"5";"388.25698853";"144.852005004883";"7";"2005-08-23";"18:00:00"
"189";"1307";"13118";"5";"520.21502686";"152.399993896484";"7";"2005-08-23";"19:00:00"
"190";"1307";"13118";"5";"760.7789917";"476.567993164062";"7";"2005-08-23";"20:00:00"
"191";"1307";"13118";"5";"1208.6600342";"774.723999023438";"7";"2005-08-23";"21:00:00"
"192";"1307";"13118";"5";"955.41900635";"598.541015625";"7";"2005-08-23";"22:00:00"
