"idCampoPorTabela";"idTabela";"nome";"rotulo";"unidade";"descricao";"principal";"ordem";"tipo"
"201";"24";"poc";"POC";"mg/L";"Carbono orgânico particulado";"sim";"4";"number"
"202";"24";"toc";"TOC";"mg/L";"Carbono orgânico total";"sim";"5";"number"
"203";"24";"densidadeBacteria";"Densidade bactéria";"10^6 cels/mL";\N;"sim";"6";"number"
"204";"24";"biomassaBacteria";"Biomassa bactéria";"ugC/L";\N;"sim";"7";"number"
"205";"24";"clorofilaA";"Clorofila";"ugC/L";\N;"sim";"8";"number"
"206";"24";"biomassaCarbonoTotalFito";"Biomassa carbono total fito";"ugC/L";\N;"sim";"9";"number"
"207";"24";"densidadeTotalFito";"Densidade total fito";"ind/mL";\N;"sim";"10";"number"
"208";"24";"biomassaZoo";"Biomassa zoo";"ugC/L";\N;"sim";"11";"number"
"209";"24";"densidadeTotalZoo";"Densidade total zoo";"ind/L";\N;"sim";"12";"number"
"210";"25";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"211";"25";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"212";"25";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"3";"number"
"213";"25";"doc";"DOC";"mg/L";"Carbono orgânico dissolvido";"sim";"4";"number"
"214";"25";"poc";"POC";"mg/L";"Carbono orgânico particulado";"sim";"5";"number"
"215";"25";"toc";"TOC";"mg/L";"Carbono orgânico total";"sim";"6";"number"
"216";"25";"densidadeBacteria";"Densidade bactéria";"10^6 cels/mL";\N;"sim";"7";"number"
"217";"25";"biomassaBacteria";"Biomassa bactéria";"ugC/L";\N;"sim";"8";"number"
"218";"25";"clorofilaA";"Clorofila";"ugC/L";\N;"sim";"9";"number"
"219";"25";"biomassaCarbonoTotalFito";"Biomassa carbono total fito";"ugC/L";\N;"sim";"10";"number"
"220";"25";"densidadeTotalFito";"Densidade total fito";"ind/mL";\N;"sim";"11";"number"
"221";"25";"biomassaZoo";"Biomassa zoo";"ugC/L";\N;"sim";"12";"number"
"222";"25";"densidadeTotalZoo";"Densidade total zoo";"ind/L";\N;"sim";"13";"number"
"223";"26";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"224";"26";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"225";"26";"producaoFitoplanctonica";"Produção fitoplanctônica";"mgC/m2/h";\N;"sim";"3";"number"
"226";"26";"carbonoOrganicoExcretado";"Carbono orgânico excretado";"mgC/m2/h";\N;"sim";"4";"number"
"227";"26";"respiracaoFito";"Respiração fito";"mgC/m2/h";\N;"sim";"5";"number"
"228";"26";"producaoBacteriana";"Produção bacteriana";"mgC/m2/h";\N;"sim";"6";"number"
"229";"26";"respiracaoBacteriana";"Respiração bacteriana";"mgC/m2/h";\N;"sim";"7";"number"
"230";"26";"taxaSedimentacao";"Taxa de sedimentação";"g/m2/d";\N;"sim";"8";"number"
"231";"27";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"232";"27";"nivelReservatorio";"Nível";"m";"Nível da água do reservatório à 0h00";"sim";"2";"number"
"233";"27";"volUtilReservatorio";"Volume útil";"hm3";"Volume útil do reservatório à 0h00";"sim";"3";"number"
"234";"27";"porVolUtilReservatorio";"Per. volume útil";"%";"Percentual do volume útil à 0h00";"sim";"4";"number"
"235";"27";"geracao";"Geração";"MWh";"Geração diária da usina";"sim";"5";"number"
"236";"27";"vazaoAfluente";"Vazão afluente";"m3/s";"Média diária";"sim";"6";"number"
"237";"27";"vazaoDefluente";"Vazão defluente";"m3/s";"Média diária";"sim";"7";"number"
"238";"27";"produtividade";"Produtividade";"MW/m3/s";"Média diária";"sim";"8";"number"
"239";"27";"vazaoTurbinada";"Vazão turbinada";"m3/s";"Média diária";"sim";"9";"number"
"240";"27";"vazaoVertida";"Vazão vertida";"m3/s";"Média diária";"sim";"10";"number"
"241";"27";"vazaoTurbinadaVazio";"Vazão turb. em vazio";"m3/s";"Média diária";"sim";"11";"number"
"242";"28";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"243";"28";"precipitacao";"Precipitação";"mm";"Medida diária";"sim";"2";"number"
"244";"29";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"245";"29";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"2";"number"
"246";"29";"secchi";"Secchi";"m";\N;"sim";"3";"number"
"247";"29";"tempagua";"Temp. da água";"oC";\N;"sim";"4";"number"
"248";"29";"condutividade";"Condutividade";"uS/cm";\N;"sim";"5";"number"
"249";"29";"do";"DO";"mg/L";"Oxigênio dissolvido";"sim";"6";"number"
