"idNutrientesSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"N2";"PT";"TC";"dataMedida";"horaMedida"
"170";"204";"2071";"1.5";"2.0999999046";"0.5222989917";"0.3539189994";"6.9000000954";"2007-03-27";"08:58:00"
"171";"204";"2071";"2.5";"2.0999999046";"0.5364159942";"0.4377099872";"6.4800000191";"2007-03-27";"08:58:00"
"172";"204";"2071";"3.5";"2.0999999046";"0.7858020067";"0.4691610038";"12.039999962";"2007-03-27";"08:58:00"
"173";"206";"2072";"0.5";"2";"0.7505480051";"0.195934996";"5.4400000572";"2007-07-26";"11:43:00"
"174";"206";"2072";"1.5";"2";"0.7694060206";"0.1999679953";"6.3800001144";"2007-07-26";"11:43:00"
"175";"206";"2072";"2.5";"2";"0.5091660023";"0.2342420071";"5.8899998665";"2007-07-26";"11:43:00"
"176";"206";"2072";"3.5";"2";"0.6298570037";"0.3178710043";"7.4600000381";"2007-07-26";"11:43:00"
"177";"804";"8110";"0.5";"96";"2.2536399364";"0.2355969995";"32.880001068";"2003-11-18";\N
"178";"804";"8110";"1.5";"96";"1.8045699596";"0.1956450045";"29.780000687";"2003-11-18";\N
"179";"804";"8110";"2.5";"96";"1.8221299648";"0.3319349885";"29.299999237";"2003-11-18";\N
"180";"804";"8110";"3.5";"96";"1.8435499668";"0.0546935014";"20.340000153";"2003-11-18";\N
"181";"804";"8110";"4.5";"96";"0.6957719922";"0.0343226008";"15.159999847";"2003-11-18";\N
"182";"804";"8110";"5.5";"96";"0.2467080057";"0.2585479915";"8.6300001144";"2003-11-18";\N
"183";"804";"8112";"0.5";"29";"2.6805200577";"0.4664520025";"46.529998779";"2003-11-19";\N
"184";"804";"8112";"1.5";"29";"2.7941799164";"0.2743549943";"55.419998169";"2003-11-19";\N
"185";"804";"8112";"2.5";"29";"2.2702701092";"0.3529030085";"38.240001678";"2003-11-19";\N
"186";"804";"8112";"3.5";"29";"2.3534300327";"0.2395160049";"38.13999939";"2003-11-19";\N
"187";"804";"8112";"6.5";"29";"2.9605000019";"0.4106450081";"48.36000061";"2003-11-19";\N
"188";"804";"8112";"9.5";"29";"2.2758100033";"0.2316129953";"38.659999847";"2003-11-19";\N
"189";"804";"8112";"10.5";"29";"2.3340198994";"0.3398390114";"36.979999542";"2003-11-19";\N
"190";"804";"8114";"0.5";"7.5";"1.9078099728";"0.3182260096";"19.709999084";"2003-11-21";\N
"191";"804";"8114";"1.5";"7.5";"2.4433100224";"0.294355005";"18.319999695";"2003-11-21";\N
"192";"804";"8114";"2.5";"7.5";"2.2390999794";"0.4116129875";"17.829999924";"2003-11-21";\N
"193";"804";"8114";"3.5";"7.5";"1.4081799984";"0.2709679902";"17.159999847";"2003-11-21";\N
"194";"804";"8114";"6.5";"7.5";"1.480250001";"0.2827419937";"18.36000061";"2003-11-21";\N
"195";"804";"8114";"9.5";"7.5";"1.4691599607";"0.342741996";"17.090000153";"2003-11-21";\N
"196";"804";"8114";"10.5";"7.5";"1.3804600239";"0.2729029953";"16.719999313";"2003-11-21";\N
"197";"804";"8115";"3";"36";"6.9008197784";"0.6791939735";"89.709999084";"2003-11-21";\N
"198";"804";"8115";"4.5";"36";"6.0873098373";"0.6777420044";"143.19999695";"2003-11-21";\N
"199";"804";"8115";"5.5";"36";"4.9751501083";"0.2745159864";"77.099998474";"2003-11-21";\N
"200";"804";"8115";"6.5";"36";"2.4809401035";"0.4117740095";"59.240001678";"2003-11-21";\N
"201";"807";"8127";"0.5";"2";"2.5432400703";"0.8256450295";"15.930000305";"2004-03-17";\N
"202";"807";"8127";"1.5";"2";"2.5719499588";"0.8006449938";"3.2100000381";"2004-03-17";\N
"203";"807";"8127";"2.5";"2";"1.6777199507";"0.823225975";"2.2799999714";"2004-03-17";\N
"204";"807";"8127";"3.5";"2";"1.3536599874";"2.1490299702";"4.3699998856";"2004-03-17";\N
"205";"807";"8127";"4.5";"2";"1.1977800131";"1.7935500145";"5.1500000954";"2004-03-17";\N
"206";"810";"8127";"0.5";"2";"0.4019959867";"0.0893870965";"6.6199998856";"2004-07-13";\N
"207";"810";"8127";"1.5";"2";"0.2625280023";"0.0776773989";"5.2300000191";"2004-07-13";\N
"208";"810";"8127";"2.5";"2";"0.2092020065";"0.069564499";"3.3399999142";"2004-07-13";\N
"209";"810";"8127";"3.5";"2";"0.2953439951";"0.0867580995";"0.200000003";"2004-07-13";\N
"210";"807";"8128";"0.5";"26.399999619";"0.4019959867";"2.8958098888";"28.659999847";"2004-03-15";\N
"211";"807";"8128";"1.5";"26.399999619";"0.2625280023";"3.2291901112";"30.569999695";"2004-03-15";\N
"212";"807";"8128";"2.5";"26.399999619";"0.2092020065";"2.5245199203";"24.909999847";"2004-03-15";\N
"213";"807";"8128";"3.5";"26.399999619";"0.2953439951";"1.7151600122";"24.930000305";"2004-03-15";\N
"214";"807";"8128";"4.5";"26.399999619";"0.3609760106";"0.1209999993";"20.879999161";"2004-03-15";\N
"215";"807";"8128";"7.5";"26.399999619";"1.3208400011";"1.1095199585";"19.459999084";"2004-03-15";\N
"216";"807";"8128";"10.5";"26.399999619";"0.939357996";"0.7916129827";"14.670000076";"2004-03-15";\N
"217";"807";"8129";"0.5";"56";"2.6006700993";"0.4229030013";"30.170000076";"2004-03-16";\N
"218";"807";"8129";"1.5";"56";"2.8590900898";"0.4532260001";"36.290000916";"2004-03-16";\N
"219";"807";"8129";"2.5";"56";"2.8508899212";"0.4566130042";"48.479999542";"2004-03-16";\N
